TPFRA,united states|massachusetts|Framingham TP|NA|4MA FRAMINGHAM TP|MA Framingham Travel Plaza|Framingham TP|Framingham Service Plaza Westbound|0|NA|NA|#N/D|42.312267|-71.42888
TPFRD,united states|new jersey|Forked River TP|NA|4GS FORKED RIVER TP|NJ Forked River|Forked River TP|Forked River Service Area|0|NA|NA|#N/D|39.874148|-74.214621
TPGAL,united states|west virginia|Gallagher Snack Shop ( No SDWAN )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPGAR,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4ME W GARDINER TP|ME West Gardiner Travel Plaza|West Gardiner TP|West Gardiner Travel Plaza|0|NA|NA|NA|44.207255|-69.827763
TPGAR,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4ME W GARDINER TP|ME West Gardiner Travel Plaza|West Gardiner TP|West Gardiner Travel Plaza|0|NA|NA|NA|44.207255|-69.827763
TPGAR,united states|maine|West Gardiner TP|NA|4ME W GARDINER TP|ME West Gardiner Travel Plaza|West Gardiner TP|West Gardiner Travel Plaza|0|NA|NA|#N/D|44.207255|-69.827763
TPGRA,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4ME GRAY TP|ME Gray|Gray TP|Gray Service Plaza|0|NA|NA|NA|43.824566|-70.320064
TPGRA,united states|maine|Gray TP|NA|4ME GRAY TP|ME Gray|Gray TP|Gray Service Plaza|0|NA|NA|#N/D|43.824566|-70.320064
TPGRC,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4NJ GROVER CLEVELAND TP|NJ Grover Cleveland|Grover Cleveland TP|Grover Cleveland Service Area|0|NA|NA|NA|40.556989|-74.263206
TPGRC,united states|new jersey|Grover Cleveland TP|NA|4NJ GROVER CLEVELAND TP|NJ Grover Cleveland|Grover Cleveland TP|Grover Cleveland Service Area|0|NA|NA|#N/D|40.556989|-74.263206
TPGRL,united states|ohio|Great Lakes TP|NA|4OH GREAT LAKES TP|OH Great Lakes II Travel Plaza|Great Lakes TP|Great Lakes Travel Plaza|0|NA|NA|#N/D|41.292606|-81.671392
TPGSP,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4IN GENE S PORTER TP|IN Gene Stratton Porter|Gene Stratton-Porter TP|Gene Stratton Porter Travel Plaza Eastbound|0|NA|NA|NA|41.745058|-85.329206
TPGSP,united states|indiana|Gene Stratton-Porter TP|NA|4IN GENE S PORTER TP|IN Gene Stratton Porter|Gene Stratton-Porter TP|Gene Stratton Porter Travel Plaza Eastbound|0|NA|NA|#N/D|41.745058|-85.329206
TPHAM,united states|new jersey|Frank Farley TP|NA|4AC FRANK FARLEY TP|Frank Farley TP|Frank Farley TP|Frank Farley Travel Plaza |0|NA|NA|#N/D|39.550766|-74.735899
TPHCR,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA HICKORY RUN TP|PA Hickory Run Travel Plaza|Hickory Run (Jim Thorpe)|Hickory Run Travel Plaza|0|NA|NA|NA|40.970436|-75.631412
TPHCR,united states|pennsylvania|Hickory Run (Jim Thorpe)|NA|4PA HICKORY RUN TP|PA Hickory Run Travel Plaza|Hickory Run (Jim Thorpe)|Hickory Run Travel Plaza|0|NA|NA|#N/D|40.970436|-75.631412
TPHSP,united states|pennsylvania|Highspire TP|NA|4PA HIGHSPIRE TP|PA Highspire Travel Plaza|Highspire TP|Highspire Travel Plaza|0|NA|NA|#N/D|40.209807|-76.743318
TPINC,united states|new york|Indian Castle TP - SOLD to Apple Green|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPIND,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4OH INDIAN MEADOW TP|NY Indian Castle Travel Plaza|Indian Meadows|Indian Meadow Plaza|0|NA|NA|NA|41.605503|-84.407693
TPIND,united states|ohio|Indian Meadows|NA|4OH INDIAN MEADOW TP|NY Indian Castle Travel Plaza|Indian Meadows|Indian Meadow Plaza|0|NA|NA|#N/D|41.605503|-84.407693
TPIRO,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NY IROQUOIS TP|NY Iroquois Travel Plaza|Iroquois TP|Iroquois Travel Plaza|0|NA|NA|NA|43.016988|-74.802946
TPIRO,united states|new york|Iroquois TP - SOLD to Apple Green |NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPJFC,united states|new jersey|James Cooper TP|NA|4NJ JAMES COOPER TP|NJ James Cooper|James Cooper TP|James Cooper Travel Plaza|0|NA|NA|#N/D|39.980772|-74.888623
TPJFN,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NJ JOHN FENWICK TP|NJ John Fenwick|John Fenwick TP|John Fenwick Travel Plaza|0|NA|NA|NA|39.695679|-75.396447
TPJFN,united states|new jersey|John Fenwick TP|NA|4NJ JOHN FENWICK TP|NJ John Fenwick|John Fenwick TP|John Fenwick Travel Plaza|0|NA|NA|#N/D|39.695679|-75.396447
TPJOY,united states|new jersey|Joyce Kilmer TP|NA|4NJ JOYCE KILMER TP|NJ Joyce Kilmer|Joyce Kilmer TP|Joyce Kilmer Travel Plaza|0|NA|NA|#N/D|40.416669|-74.443889
TPJUP,united states|new york|Junius Ponds TP|NA|4NY JUNIUS PONDS TP|NY Junius Ponds Travel Plaza|Junius Ponds TP|Junius Ponds Travel Plaza|0|NA|NA|#N/D|42.958978|-76.917998
TPKBN,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4ME N KENNEBUNK TP|ME Kennebunk North|Kennebunk North TP|Kennebunk Service Plaza (Northbound)|0|NA|NA|NA|43.410429|-70.558237
TPKBN,united states|maine|Kennebunk North TP|NA|4ME N KENNEBUNK TP|ME Kennebunk North|Kennebunk North TP|Kennebunk Service Plaza (Northbound)|0|NA|NA|#N/D|43.410429|-70.558237
TPKBS,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4ME S KENNEBUNK TP|ME Kennebunk South|Kennebunk South TP|Kennebunk Service Plaza (Southbound)|0|NA|NA|NA|43.410148|-70.560708
TPKBS,united states|maine|Kennebunk South TP|NA|4ME S KENNEBUNK TP|ME Kennebunk South|Kennebunk South TP|Kennebunk Service Plaza (Southbound)|0|NA|NA|#N/D|43.410148|-70.560708
TPKNW,united states|new jersey|Knowlton|NA|4NJ KNOWLTON TP|NJ Knowlton Travel Plaza|Knowlton|Knowlton Travel Plaza|0|NA|NA|#N/D|40.934531|-75.101566
TPKOP,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA KING OF PRUSSIA TP|PA King of Prussia Trvl Plaza|King of Prussia|King of Prussia Travel Plaza|0|NA|NA|NA|40.090077|-75.370531
TPKOP,united states|pennsylvania|King of Prussia|NA|4PA KING OF PRUSSIA TP|PA King of Prussia Trvl Plaza|King of Prussia|King of Prussia Travel Plaza|0|NA|NA|#N/D|40.090077|-75.370531
TPKRO,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4IN KNUTE ROCKNE TP|IN Knute Rockne Plaza|Knute Rockne TP|Knute Rockne Travel Plaza|0|NA|NA|NA|41.705702|-86.621165
TPKRO,united states|indiana|Knute Rockne TP|NA|4IN KNUTE ROCKNE TP|IN Knute Rockne Plaza|Knute Rockne TP|Knute Rockne Travel Plaza|0|NA|NA|#N/D|41.705702|-86.621165
TPLUE,united states|massachusetts|Ludlow East TP|NA|4MA LUDLOW EAST TP|MA Ludlow East Travel Plaza|Ludlow East TP|Ludlow Service Plaza Eastbound|0|NA|NA|#N/D|42.16916|-72.453999
TPLUW,united states|massachusetts|Ludlow West TP|NA|4MA LUDLOW WEST TP|MA Ludlow West Travel Plaza|Ludlow West TP|Ludlow Service Plaza Westbound|0|NA|NA|#N/D|42.171079|-72.455641
TPLWN,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA LAWN TP|Hershey (Lawn) TP|Hershey (Lawn) TP|Lawn Service Plaza|0|NA|NA|NA|40.208204|-76.574347
TPLWN,united states|pennsylvania|Hershey (Lawn) TP|NA|4PA LAWN TP|Hershey (Lawn) TP|Hershey (Lawn) TP|Lawn Service Plaza|0|NA|NA|#N/D|40.208204|-76.574347
TPMON,united states|new jersey|Monmouth TP|NA|4GS MONMOUTH TP|NJ Monmouth|Monmouth TP|Monmouth Service Area|0|NA|NA|#N/D|40.198429|-74.09913
TPMOP,united states|new jersey|Molly Pitcher TP|NA|4NJ MOLLY PITCHER TP|NJ Molly Pitcher|Molly Pitcher TP|Molly Pitcher Travel Plaza|0|NA|NA|#N/D|40.321168|-74.488048
TPMOT,united states|new jersey|Montvale TP|NA|4GS MONTVALE TP|Montvale TP|Montvale TP|Montvale Travel Plaza|0|NA|NA|#N/D|41.048016|-74.066528
TPMRP,united states|ohio|Middle Ridge TP|NA|4OH MIDDLE RIDGE TP|OH Middle Ridge Travel Plaza|Middle Ridge TP|Middle Ridge Travel Plaza|0|NA|NA|#N/D|41.379911|-82.222919
TPMTN,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4WV MORTON TP|WV Morton Travel Plaza|Mortons TP|Morton Travel Plaza|0|NA|NA|NA|38.102069|-81.382869
TPMTN,united states|west virginia|Mortons TP|NA|4WV MORTON TP|WV Morton Travel Plaza|Mortons TP|Morton Travel Plaza|0|NA|NA|#N/D|38.102069|-81.382869
TPNOY,united states|pennsylvania|Midway North TP|NA|4PA NORTH MIDWAY TP|Midway North TP|Midway North TP|North Midway Service Plaza|0|NA|NA|#N/D|40.030835|-78.492499
TPNSO,united states|pennsylvania|Somerset North TP|NA|4PA NORTH SOMERSET TP|PA North Somerset Travel Plaza|Somerset North TP|North Somerset Travel Plaza|0|NA|NA|#N/D|40.000294|-79.044477
TPNST,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA NEW STANTON TP|PA New Stanton Travel Plaza|New Stanton|New Stanton Travel Plaza|0|NA|NA|NA|40.206187|-79.565982
TPNST,united states|pennsylvania|New Stanton|NA|4PA NEW STANTON TP|PA New Stanton Travel Plaza|New Stanton|New Stanton Travel Plaza|0|NA|NA|#N/D|40.206187|-79.565982
