HFCHW-CharlotteWestWing,united states|north carolina|Charlotte AP - Remote Office|NA|CHARLOTTE AP|Charlotte AP - Remote Office|Charlotte AP - Remote Office|Charlotte Douglas International Airport|50|sdwan|Corporate|JFK|35.2140007|-80.94309998
hfcmh_RTR4331,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|35|router_mpls|Airport|CMH|39.998001|-82.891899
HFCMH-2930f.19-Reachme,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960.15_REACHME,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.101-TEMPDISTRO,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.10-TRB128,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960x.11-SBUX_PreSecurity,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.13-PGA-STBX-SGC301,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.2-CORE-ComputerRoom,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|100|core_switch|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.3-BTermQuiznos,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.4-StarbucksBagClaim1,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.5-AtermSbux,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.6-BTermWlfGngPk,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.7-TRC180,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-2960X.9-BTermMaxErmas,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches|Airport|CMH|39.998001|-82.891899
HFCMH-3750x.12-FiberDistro,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|switches - fiber|Airport|CMH|39.998001|-82.891899
HFDEN_VG.5,united states|colorado|Denver Airport|NA|DENVER AP|Denver International Airport|Denver Airport|Denver International Airport|0|voip vgs|AirPort|DEN|39.86169815|-104.6729965
hfdlf_RTR4331,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|35|router_mpls|AirPort|DAL|32.847099|-96.851799
HFDLF_WG_Dallas_Love_AP,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|100|firewalls|AirPort|DAL|32.847099|-96.851799
HFDLF-2930F.2-Core,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|100|core_switch|AirPort|DAL|32.847099|-96.851799
HFDLF-2960.10-CoolRiver,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-2960.18-LaMadeleine,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-2960.6-StarbucksEast,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-2960X.19-CHICKFILA-TERM-2,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-2960X.20-STBX-WEST-TERM-2,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-2960X.21-PACIUGOS-TERM-2,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches|AirPort|DAL|32.847099|-96.851799
HFDLF-3750S12.3-FiberDistribution.ad.hmshost.com,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|switches - fiber|AirPort|DAL|32.847099|-96.851799
HFDLF-DallasLoveField,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|50|sdwan|AirPort|DAL|32.847099|-96.851799
HFFAI_WG_Fairbanks_AP,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|100|firewalls|AirPort|FAI|64.81510162|-147.8560028
HFFAI-2960.6-Cameras.network.HMSHost.COM,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|0|switches|AirPort|FAI|64.81510162|-147.8560028
HFFAI-2960X.100-Stbx-Spare,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|0|switches|AirPort|FAI|64.81510162|-147.8560028
HFFAI-2960X.2-StbxCore.ad.hmshost.com,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|100|core_switch|AirPort|FAI|64.81510162|-147.8560028
HFFAI-2960X.4-TELECOMRM1802.ad.hmshost.com,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|0|switches|AirPort|FAI|64.81510162|-147.8560028
HFFAI-2960X.5-CashRM.ad.hmshost.com,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|0|switches|AirPort|FAI|64.81510162|-147.8560028
HFFLL-AP01-LandShark.90-T1B-NicksKitchen,united states|florida|Ft. Lauderdale Intl AP - FLL|NA|FORT LAUDERDALE AP|Fort Lauderdale Airport F&B|Ft. Lauderdale Intl AP - FLL|Fort Lauderdale Hollywood International Airport|0|ap|AirPort|FLL|26.072599|-80.152702
HFHFX-2960.3-MainOffice,canada|halifax airport|Halifax Airport|NA|NA|Halifax Airport|Halifax Airport|Hay River / Merlyn Carter Airport|0|switches|AirPort|YHZ|60.83969879|-115.7829971
HFHFX-2960X.4-Bia.Mara,canada|halifax airport|Halifax Airport|NA|NA|Halifax Airport|Halifax Airport|Hay River / Merlyn Carter Airport|0|switches|AirPort|YHZ|60.83969879|-115.7829971
HFIAD-2930F.24-STBXCStorage,united states|virginia|Dulles Int'l Airport|NA|WASH DULLES AP|Dulles International F&B|Dulles Int'l Airport|Washington Dulles International Airport|0|switches|AirPort|IAD|38.94449997|-77.45580292
HFLGA_RTR4331,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|35|router_mpls|AirPort|#N/D|40.777199|-73.872597
HFLGA_WG_LaGuardia_AP,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|100|firewalls|AirPort|#N/D|40.777199|-73.872597
HFLGA-2930F.100-Spare,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|0|switches|AirPort|#N/D|40.777199|-73.872597
HFLGA-2930F.2-Core-ShakeShack,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|100|core_switch|AirPort|#N/D|40.777199|-73.872597
HFLGA-2930F.3-LaChula's,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|0|switches|AirPort|#N/D|40.777199|-73.872597
HFLGA-LaGuardia,united states|new york|La Guardia - Shake Shack|NA|NA|0|La Guardia - Shake Shack|0|50|sdwan|AirPort|#N/D|40.777199|-73.872597
HFMIA-2930F.4-Commissary,united states|florida|Miami Int'l Airport|NA|MIAMI AP|Miami Airport F&B|Miami Int'l Airport|Miami International Airport|0|switches|AirPort|MIA|25.79319954|-80.29060364
HFMIA-2960X.25-TermHSbarros,united states|florida|Miami Int'l Airport|NA|MIAMI AP|Miami Airport F&B|Miami Int'l Airport|Miami International Airport|0|switches|AirPort|MIA|25.79319954|-80.29060364
HFLAX_WG_T2-STBX-Arrivals,united states|california|LAX|LAX-Terminal-2|LOS ANGELES AP|Los Angeles Airport AA|LAX|Los Angeles International Airport|100|firewalls|AirPort|#N/D|33.942501|-118.407997
